ID,Date,Open,High,Low,Close,Vol.,Change %
943,2016-3-11,16.25,16.4,16.2,16.3,10030000,0.0031
944,2016-3-14,16.35,16.55,16.3,16.45,12460000,0.0092
945,2016-3-15,16.3,16.5,16.3,16.35,8400000,-0.0061
946,2016-3-16,16.45,16.6,16.3,16.4,15040000,0.0031
947,2016-3-17,16.3,16.6,16.3,16.5,22240000,0.0061
948,2016-3-18,16.5,16.6,16.4,16.5,12990000,0.0000
949,2016-3-21,16.45,16.5,16.3,16.45,8250000,-0.0030
950,2016-3-22,16.5,17,16.4,16.75,16110000,0.0182
951,2016-3-23,16.7,17,16.65,16.85,5340000,0.0060
952,2016-3-24,16.75,17,16.75,16.9,7880000,0.0030
953,2016-3-29,16.9,16.9,16.7,16.8,5460000,-0.0059
954,2016-3-30,16.8,16.85,16.7,16.7,6560000,-0.0060
955,2016-3-31,16.7,17,16.6,16.9,6770000,0.0120
956,2016-4-1,16.7,17,16.7,16.85,6050000,-0.0030
957,2016-4-4,16.85,16.9,16.7,16.8,3350000,-0.0030
958,2016-4-5,16.75,16.8,16.75,16.8,18100000,0.0000
959,2016-4-6,16.9,16.9,16.75,16.75,2610000,-0.0030
960,2016-4-7,16.8,16.8,16.75,16.75,4110000,0.0000
961,2016-4-8,16.7,16.8,16.7,16.75,7680000,0.0000
962,2016-4-11,16.75,16.8,16.65,16.7,1690000,-0.0030
963,2016-4-12,16.75,16.75,16.65,16.7,1590000,0.0000
964,2016-4-13,16.7,16.8,16.7,16.75,4070000,0.0030
965,2016-4-14,16.8,17.1,16.75,16.95,3630000,0.0119
966,2016-4-15,16.8,17.3,16.8,17.1,10770000,0.0088
967,2016-4-18,17.1,17.3,17.1,17.2,12910000,0.0058
968,2016-4-19,17.2,17.35,17.2,17.3,21150000,0.0058
969,2016-4-20,17.3,17.85,17.25,17.45,5160000,0.0087
970,2016-4-21,17.85,17.85,17.25,17.4,8760000,-0.0029
971,2016-4-22,17.4,17.4,16.9,17.1,12300000,-0.0172
972,2016-4-25,16.85,17,16.85,16.95,1060000,-0.0088
973,2016-4-26,16.9,17,16.85,16.95,10650000,0.0000
974,2016-4-27,16.95,17.1,16.85,16.95,8110000,0.0000
975,2016-4-28,16.95,17.15,16.9,17.1,9970000,0.0088
976,2016-4-29,17.1,17.15,17,17.1,6730000,0.0000
977,2016-5-3,16.95,17.1,16.9,16.95,2310000,-0.0088
978,2016-5-4,16.9,17,16.8,16.9,8720000,-0.0029
979,2016-5-5,16.8,17,16.8,16.9,11780000,0.0000
980,2016-5-6,16.85,17.1,16.75,16.9,1400000,0.0000
981,2016-5-9,16.9,16.95,16.6,16.9,7530000,0.0000
982,2016-5-10,16.95,17,16.9,16.95,2340000,0.0030
983,2016-5-11,17.05,17.2,17,17.1,4500000,0.0088
984,2016-5-12,17.1,17.45,17.1,17.25,1180000,0.0088
985,2016-5-13,17.25,17.45,17.25,17.3,746600,0.0029
986,2016-5-16,17.4,17.4,17.3,17.35,3340000,0.0029
